Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
2006-12-16;19:17:00;3.406;0.000;233.910;14.400;0.000;2.000;17.000
2006-12-16;19:18:00;3.420;0.000;234.430;14.600;0.000;1.000;17.000
2006-12-16;19:19:00;3.418;0.000;234.340;14.400;0.000;1.000;17.000
2006-12-16;19:20:00;3.422;0.052;234.580;14.600;0.000;1.000;17.000
2006-12-16;19:21:00;3.332;0.000;234.020;14.200;0.000;1.000;16.000
2006-12-16;19:22:00;3.316;0.046;234.290;14.000;0.000;1.000;17.000
2006-12-16;19:23:00;3.334;0.000;234.360;14.200;0.000;2.000;17.000
2006-12-16;19:24:00;3.262;0.052;232.640;14.000;0.000;0.000;17.000
2006-12-16;19:25:00;3.476;0.064;232.960;14.800;0.000;3.000;16.000
2006-12-16;19:26:00;3.620;0.090;233.470;15.400;0.000;5.000;17.000
2006-12-16;19:27:00;3.610;0.084;234.980;15.200;0.000;5.000;17.000
2006-12-16;19:28:00;3.646;0.138;234.340;15.400;0.000;5.000;17.000
2006-12-16;19:29:00;3.614;0.192;233.920;15.400;0.000;5.000;17.000
2006-12-16;19:30:00;3.408;0.162;233.940;14.400;0.000;2.000;16.000
2006-12-16;19:31:00;3.388;0.134;233.720;14.400;0.000;1.000;17.000
2006-12-16;19:32:00;3.372;0.132;233.200;14.400;0.000;2.000;17.000
2006-12-16;19:33:00;3.370;0.132;233.100;14.400;0.000;1.000;16.000
2006-12-16;19:34:00;3.342;0.120;232.290;14.400;0.000;1.000;17.000
2006-12-16;19:35:00;3.284;0.000;232.450;14.000;0.000;2.000;16.000
2006-12-16;19:36:00;3.276;0.000;231.970;14.000;0.000;1.000;17.000
2006-12-16;19:37:00;3.382;0.130;232.420;14.400;0.000;2.000;17.000
2006-12-16;19:38:00;3.418;0.160;233.380;14.600;0.000;1.000;16.000
2006-12-16;19:39:00;3.396;0.158;232.690;14.600;0.000;1.000;17.000
2006-12-16;19:40:00;3.406;0.158;233.200;14.600;0.000;2.000;16.000
2006-12-16;19:41:00;3.406;0.158;233.260;14.600;0.000;1.000;17.000
2006-12-16;19:42:00;3.392;0.156;232.840;14.400;0.000;1.000;17.000
2006-12-16;19:43:00;3.378;0.154;232.390;14.400;0.000;2.000;16.000
2006-12-16;19:44:00;3.368;0.154;232.140;14.400;0.000;1.000;17.000
2006-12-16;19:45:00;3.350;0.152;231.570;14.400;0.000;1.000;16.000
2006-12-16;19:46:00;3.352;0.152;231.660;14.400;0.000;2.000;17.000
2006-12-16;19:47:00;3.364;0.154;232.220;14.400;0.000;1.000;16.000
2006-12-16;19:48:00;3.380;0.156;232.810;14.400;0.000;1.000;17.000
2006-12-16;19:49:00;3.404;0.160;233.770;14.400;0.000;1.000;17.000
2006-12-16;19:50:00;3.378;0.156;232.820;14.400;0.000;2.000;16.000
2006-12-16;19:51:00;3.388;0.158;233.220;14.400;0.000;1.000;17.000
2006-12-16;19:52:00;3.376;0.156;232.840;14.400;0.000;1.000;17.000
2006-12-16;19:53:00;3.254;0.000;232.750;13.800;0.000;0.000;16.000
2006-12-16;19:54:00;3.214;0.078;232.640;13.800;0.000;0.000;17.000
2006-12-16;19:55:00;3.202;0.078;232.200;13.800;0.000;0.000;16.000
2006-12-16;19:56:00;3.202;0.078;232.200;13.800;0.000;0.000;17.000
2006-12-16;19:57:00;3.212;0.078;232.580;13.800;0.000;0.000;16.000
2006-12-16;19:58:00;3.206;0.078;232.400;13.800;0.000;0.000;17.000
2006-12-16;19:59:00;3.214;0.078;232.660;13.800;0.000;0.000;17.000
2006-12-16;20:00:00;3.206;0.078;232.430;13.800;0.000;0.000;16.000
2006-12-16;20:01:00;3.222;0.078;233.020;13.800;0.000;0.000;17.000
2006-12-16;20:02:00;3.216;0.076;232.800;13.800;0.000;0.000;16.000
2006-12-16;20:03:00;3.216;0.078;232.790;13.800;0.000;0.000;17.000
2006-12-16;20:04:00;3.194;0.078;231.980;13.600;0.000;0.000;16.000
2006-12-16;20:05:00;3.278;0.000;232.880;14.000;0.000;0.000;17.000
2006-12-16;20:06:00;3.282;0.000;232.520;14.000;0.000;0.000;17.000
2006-12-16;20:07:00;3.292;0.000;232.870;14.000;0.000;0.000;16.000
2006-12-16;20:08:00;3.316;0.000;233.780;14.000;0.000;0.000;17.000
2006-12-16;20:09:00;3.370;0.080;233.690;14.400;0.000;0.000;17.000
2006-12-16;20:10:00;3.420;0.144;234.040;14.600;0.000;0.000;17.000
2006-12-16;20:11:00;3.410;0.142;233.930;14.600;0.000;0.000;16.000
2006-12-16;20:12:00;3.400;0.140;233.620;14.400;0.000;0.000;17.000
2006-12-16;20:13:00;3.400;0.140;233.640;14.400;0.000;0.000;17.000
2006-12-16;20:14:00;3.388;0.140;233.260;14.400;0.000;0.000;16.000
2006-12-16;20:15:00;3.370;0.086;233.900;14.400;0.000;0.000;17.000
2006-12-16;20:16:00;3.332;0.000;233.680;14.200;0.000;0.000;17.000
2006-12-16;20:17:00;3.310;0.000;232.830;14.200;0.000;0.000;17.000
2006-12-16;20:18:00;3.312;0.000;233.000;14.200;0.000;0.000;16.000
2006-12-16;20:19:00;3.314;0.000;233.080;14.200;0.000;0.000;17.000
2006-12-16;20:20:00;3.302;0.000;232.690;14.200;0.000;0.000;16.000
2006-12-16;20:21:00;3.302;0.000;232.910;14.000;0.000;0.000;17.000
2006-12-16;20:22:00;3.300;0.000;232.870;14.000;0.000;0.000;17.000
2006-12-16;20:23:00;3.290;0.000;232.420;14.000;0.000;0.000;16.000
2006-12-16;20:24:00;3.286;0.000;232.310;14.000;0.000;0.000;17.000
2006-12-16;20:25:00;3.230;0.052;232.790;13.800;0.000;0.000;16.000
2006-12-16;20:26:00;3.218;0.078;233.050;13.800;0.000;0.000;17.000
2006-12-16;20:27:00;3.258;0.076;234.570;13.800;0.000;0.000;17.000
2006-12-16;20:28:00;3.264;0.076;234.790;13.800;0.000;0.000;17.000
2006-12-16;20:29:00;3.260;0.076;234.600;13.800;0.000;0.000;17.000
2006-12-16;20:30:00;3.262;0.076;234.540;13.800;0.000;0.000;17.000
2006-12-16;20:31:00;3.264;0.076;234.600;13.800;0.000;0.000;16.000
2006-12-16;20:32:00;3.238;0.076;233.770;13.800;0.000;0.000;17.000
2006-12-16;20:33:00;3.228;0.078;233.500;13.800;0.000;0.000;17.000
2006-12-16;20:34:00;3.222;0.078;233.270;13.800;0.000;0.000;17.000
2006-12-16;20:35:00;3.226;0.078;233.370;13.800;0.000;0.000;16.000
2006-12-16;20:36:00;3.206;0.078;232.640;13.600;0.000;0.000;17.000
2006-12-16;20:37:00;3.188;0.080;231.950;13.600;0.000;0.000;16.000
2006-12-16;20:38:00;3.196;0.080;232.210;13.600;0.000;0.000;17.000
2006-12-16;20:39:00;3.204;0.078;232.500;13.600;0.000;0.000;16.000
2006-12-16;20:40:00;3.232;0.078;233.630;13.800;0.000;0.000;17.000
2006-12-16;20:41:00;3.254;0.074;234.430;13.800;0.000;0.000;17.000
2006-12-16;20:42:00;3.376;0.050;234.630;14.400;0.000;0.000;17.000
2006-12-16;20:43:00;3.372;0.048;235.050;14.200;0.000;0.000;17.000
2006-12-16;20:44:00;3.366;0.048;234.960;14.200;0.000;0.000;17.000
2006-12-16;20:45:00;3.386;0.050;235.770;14.200;0.000;0.000;17.000
2006-12-16;20:46:00;3.496;0.146;236.760;14.800;0.000;0.000;17.000
2006-12-16;20:47:00;3.426;0.146;234.590;14.600;0.000;0.000;17.000
2006-12-16;20:48:00;3.440;0.148;235.130;14.600;0.000;0.000;17.000
2006-12-16;20:49:00;3.440;0.146;235.140;14.600;0.000;0.000;17.000
2006-12-16;20:50:00;3.454;0.150;235.750;14.600;0.000;0.000;17.000
2006-12-16;20:51:00;3.450;0.150;235.690;14.600;0.000;0.000;17.000
2006-12-16;20:52:00;3.480;0.154;236.860;14.600;0.000;0.000;17.000
2006-12-16;20:53:00;3.474;0.152;236.720;14.600;0.000;0.000;17.000
2006-12-16;20:54:00;3.456;0.150;236.050;14.600;0.000;0.000;17.000
2006-12-16;20:55:00;1.832;0.170;237.540;8.400;0.000;0.000;17.000
2006-12-16;20:56:00;2.044;0.102;237.440;9.400;0.000;0.000;18.000
2006-12-16;20:57:00;3.354;0.000;237.000;14.000;0.000;0.000;17.000
2006-12-16;20:58:00;3.282;0.074;235.550;13.800;0.000;0.000;17.000
2006-12-16;20:59:00;3.308;0.074;236.510;14.000;0.000;0.000;17.000
2006-12-16;21:00:00;3.314;0.072;236.760;14.000;0.000;0.000;17.000
2006-12-16;21:01:00;3.306;0.072;237.110;13.800;0.000;0.000;17.000
2006-12-16;21:02:00;1.692;0.054;238.720;7.800;0.000;0.000;18.000
2006-12-16;21:03:00;3.342;0.070;237.660;14.000;0.000;0.000;17.000
2006-12-16;21:04:00;3.354;0.070;238.200;14.000;0.000;0.000;17.000
2006-12-16;21:05:00;3.334;0.072;237.460;14.000;0.000;0.000;18.000
2006-12-16;21:06:00;3.330;0.072;237.360;14.000;0.000;0.000;17.000
2006-12-16;21:07:00;2.740;0.064;238.130;12.000;0.000;0.000;17.000
2006-12-16;21:08:00;2.188;0.060;237.740;10.000;0.000;0.000;18.000
2006-12-16;21:09:00;3.330;0.070;237.260;14.000;0.000;0.000;17.000
2006-12-16;21:10:00;3.340;0.070;237.690;14.000;0.000;0.000;17.000
2006-12-16;21:11:00;3.306;0.072;236.440;14.000;0.000;0.000;17.000
2006-12-16;21:12:00;3.044;0.072;236.230;13.200;0.000;0.000;17.000
2006-12-16;21:13:00;1.766;0.058;237.700;8.200;0.000;0.000;18.000
2006-12-16;21:14:00;3.376;0.000;235.730;14.200;0.000;0.000;17.000
2006-12-16;21:15:00;3.414;0.052;236.510;14.400;0.000;0.000;17.000
2006-12-16;21:16:00;3.426;0.054;237.110;14.400;0.000;0.000;17.000
2006-12-16;21:17:00;3.420;0.054;237.060;14.400;0.000;0.000;17.000
2006-12-16;21:18:00;1.876;0.074;238.630;8.600;0.000;0.000;18.000
2006-12-16;21:19:00;3.442;0.056;237.580;14.400;0.000;0.000;17.000
2006-12-16;21:20:00;3.414;0.054;236.870;14.400;0.000;0.000;17.000
2006-12-16;21:21:00;3.412;0.056;236.940;14.400;0.000;0.000;17.000
2006-12-16;21:22:00;2.542;0.068;238.170;11.400;0.000;0.000;18.000
2006-12-16;21:23:00;2.820;0.062;237.420;12.400;0.000;0.000;17.000
2006-12-16;21:24:00;3.410;0.054;236.910;14.400;0.000;0.000;17.000
2006-12-16;21:25:00;3.392;0.052;236.240;14.200;0.000;0.000;17.000
2006-12-16;21:26:00;2.878;0.060;237.170;12.600;0.000;0.000;17.000
2006-12-16;21:27:00;1.848;0.112;238.590;8.400;0.000;0.000;18.000
2006-12-16;21:28:00;3.494;0.144;237.430;14.600;0.000;0.000;17.000
2006-12-16;21:29:00;3.420;0.000;237.730;14.200;0.000;0.000;17.000
2006-12-16;21:30:00;3.226;0.000;237.200;13.800;0.000;0.000;18.000
2006-12-16;21:31:00;1.948;0.000;238.410;9.000;0.000;0.000;17.000
2006-12-16;21:32:00;3.392;0.000;236.600;14.200;0.000;0.000;17.000
2006-12-16;21:33:00;3.368;0.000;236.120;14.200;0.000;0.000;17.000
2006-12-16;21:34:00;3.378;0.000;236.540;14.200;0.000;0.000;17.000
2006-12-16;21:35:00;1.872;0.000;238.480;8.600;0.000;0.000;18.000
2006-12-16;21:36:00;3.212;0.000;237.270;13.600;0.000;0.000;17.000
2006-12-16;21:37:00;3.346;0.000;237.060;14.000;0.000;0.000;17.000
2006-12-16;21:38:00;3.308;0.072;236.490;14.000;0.000;0.000;17.000
2006-12-16;21:39:00;3.302;0.072;236.280;13.800;0.000;0.000;17.000
2006-12-16;21:40:00;2.360;0.064;236.890;10.800;0.000;0.000;18.000
2006-12-16;21:41:00;2.652;0.046;236.640;11.800;0.000;0.000;17.000
2006-12-16;21:42:00;3.392;0.000;236.580;14.200;0.000;1.000;17.000
2006-12-16;21:43:00;3.398;0.000;236.830;14.200;0.000;2.000;17.000
2006-12-16;21:44:00;3.424;0.046;237.750;14.400;0.000;1.000;17.000
2006-12-16;21:45:00;1.860;0.066;239.690;8.400;0.000;2.000;18.000
2006-12-16;21:46:00;3.250;0.082;238.950;13.800;0.000;1.000;17.000
2006-12-16;21:47:00;3.502;0.172;236.460;14.800;0.000;1.000;18.000
2006-12-16;21:48:00;3.484;0.170;235.980;14.600;0.000;2.000;17.000
2006-12-16;21:49:00;3.478;0.168;235.850;14.600;0.000;1.000;17.000
2006-12-16;21:50:00;1.696;0.194;238.190;7.600;0.000;2.000;17.000
2006-12-16;21:51:00;3.494;0.170;236.280;14.800;0.000;1.000;17.000
2006-12-16;21:52:00;3.482;0.170;236.400;14.600;0.000;1.000;17.000
2006-12-16;21:53:00;3.480;0.170;236.460;14.600;0.000;2.000;17.000
2006-12-16;21:54:00;3.474;0.168;236.280;14.600;0.000;1.000;17.000
2006-12-16;21:55:00;2.308;0.184;237.330;10.600;0.000;1.000;18.000
2006-12-16;21:56:00;2.926;0.178;237.090;12.800;0.000;2.000;17.000
2006-12-16;21:57:00;3.472;0.170;236.390;14.600;0.000;1.000;17.000
2006-12-16;21:58:00;3.480;0.170;236.750;14.600;0.000;1.000;17.000
2006-12-16;21:59:00;3.454;0.168;235.730;14.600;0.000;2.000;17.000
2006-12-16;22:00:00;3.464;0.170;236.030;14.600;0.000;1.000;17.000
2006-12-16;22:01:00;1.786;0.096;237.680;8.200;0.000;1.000;18.000
2006-12-16;22:02:00;3.182;0.000;235.990;13.600;0.000;1.000;17.000
2006-12-16;22:03:00;3.378;0.000;236.260;14.200;0.000;2.000;17.000
2006-12-16;22:04:00;3.372;0.000;236.030;14.200;0.000;1.000;17.000
2006-12-16;22:05:00;3.362;0.000;235.700;14.200;0.000;1.000;17.000
2006-12-16;22:06:00;3.112;0.000;236.080;13.400;0.000;1.000;17.000
2006-12-16;22:07:00;1.614;0.056;237.310;7.400;0.000;0.000;17.000
2006-12-16;22:08:00;3.358;0.000;236.140;14.200;0.000;0.000;17.000
2006-12-16;22:09:00;3.388;0.000;236.610;14.200;0.000;0.000;17.000
2006-12-16;22:10:00;3.392;0.000;236.930;14.200;0.000;0.000;17.000
2006-12-16;22:11:00;2.810;0.000;237.970;12.400;0.000;0.000;18.000
2006-12-16;22:12:00;2.180;0.000;238.020;10.000;0.000;0.000;17.000
2006-12-16;22:13:00;3.370;0.000;236.060;14.200;0.000;0.000;17.000
2006-12-16;22:14:00;3.326;0.000;234.450;14.000;0.000;0.000;17.000
2006-12-16;22:15:00;2.778;0.000;235.310;12.000;0.000;0.000;9.000
2006-12-16;22:16:00;2.358;0.000;237.100;9.800;0.000;0.000;0.000
2006-12-16;22:17:00;0.960;0.054;238.680;5.600;0.000;0.000;0.000
2006-12-16;22:18:00;1.606;0.000;238.760;7.800;0.000;0.000;0.000
2006-12-16;22:19:00;2.350;0.000;238.590;9.800;0.000;0.000;0.000
2006-12-16;22:20:00;2.428;0.068;238.870;10.000;0.000;0.000;0.000
2006-12-16;22:21:00;2.078;0.072;238.970;9.200;0.000;0.000;0.000
2006-12-16;22:22:00;0.780;0.090;239.930;4.600;0.000;0.000;0.000
2006-12-16;22:23:00;2.426;0.068;239.050;10.000;0.000;0.000;0.000
2006-12-16;22:24:00;2.412;0.066;238.460;10.000;0.000;0.000;0.000
2006-12-16;22:25:00;2.428;0.070;239.680;10.000;0.000;0.000;0.000
2006-12-16;22:26:00;1.530;0.084;240.720;7.600;0.000;0.000;0.000
2006-12-16;22:27:00;1.388;0.086;240.870;7.200;0.000;0.000;0.000
2006-12-16;22:28:00;2.424;0.070;239.710;10.000;0.000;0.000;0.000
2006-12-16;22:29:00;2.428;0.072;239.890;10.000;0.000;0.000;0.000
2006-12-16;22:30:00;2.388;0.070;239.480;10.000;0.000;0.000;0.000
2006-12-16;22:31:00;0.376;0.100;241.640;1.600;0.000;0.000;0.000
2006-12-16;22:32:00;2.202;0.074;240.070;9.600;0.000;0.000;0.000
2006-12-16;22:33:00;2.430;0.070;239.770;10.000;0.000;0.000;0.000
2006-12-16;22:34:00;2.346;0.052;240.050;9.600;0.000;0.000;0.000
2006-12-16;22:35:00;1.916;0.054;239.750;8.600;0.000;0.000;0.000
2006-12-16;22:36:00;0.384;0.000;240.580;2.400;0.000;0.000;0.000
2006-12-16;22:37:00;2.334;0.060;239.200;9.600;0.000;0.000;0.000
2006-12-16;22:38:00;2.320;0.060;238.840;9.600;0.000;0.000;0.000
2006-12-16;22:39:00;2.306;0.062;238.390;9.600;0.000;0.000;0.000
2006-12-16;22:40:00;2.306;0.064;238.390;9.600;0.000;0.000;0.000
2006-12-16;22:41:00;0.436;0.000;241.060;2.800;0.000;0.000;0.000
2006-12-16;22:42:00;1.584;0.050;240.890;7.800;0.000;0.000;0.000
2006-12-16;22:43:00;2.328;0.062;239.460;9.600;0.000;0.000;0.000
2006-12-16;22:44:00;2.326;0.062;239.270;9.600;0.000;0.000;0.000
2006-12-16;22:45:00;2.334;0.060;239.570;9.600;0.000;0.000;0.000
2006-12-16;22:46:00;1.846;0.054;239.990;8.400;0.000;0.000;0.000
2006-12-16;22:47:00;0.284;0.000;242.040;1.200;0.000;0.000;0.000
2006-12-16;22:48:00;2.342;0.060;239.890;9.800;0.000;0.000;0.000
2006-12-16;22:49:00;2.392;0.000;239.910;10.000;0.000;0.000;0.000
2006-12-16;22:50:00;2.414;0.000;240.020;10.000;0.000;0.000;0.000
2006-12-16;22:51:00;2.414;0.000;239.970;10.000;0.000;0.000;0.000
2006-12-16;22:52:00;0.754;0.086;241.270;4.400;0.000;0.000;0.000
2006-12-16;22:53:00;1.420;0.178;238.640;7.400;0.000;0.000;0.000
2006-12-16;22:54:00;2.468;0.162;237.470;10.400;0.000;0.000;0.000
2006-12-16;22:55:00;2.474;0.164;238.050;10.400;0.000;0.000;0.000
2006-12-16;22:56:00;2.488;0.168;239.030;10.400;0.000;0.000;0.000
2006-12-16;22:57:00;1.810;0.182;240.280;8.600;0.000;0.000;0.000
2006-12-16;22:58:00;0.674;0.200;241.360;4.000;0.000;0.000;0.000
2006-12-16;22:59:00;2.444;0.094;239.420;10.200;0.000;0.000;0.000
2006-12-16;23:00:00;2.410;0.068;238.900;10.000;0.000;0.000;0.000
2006-12-16;23:01:00;2.412;0.070;239.130;10.000;0.000;0.000;0.000
